mcmc,evo,aco
77,71,60
61,71,69.2
77,61,60
77,71,60
83,71,60
77,71,60
83,71,88
77,66,69.2
73.33,66,69.2
77,71,11.5
73.33,61,69.2
83,71,19
83,66,60
61,66,88
77,19,88
77,71,60
61,88,26.19
83,88,61
61,71,25
83,66,33
77,66,15.14
83,23.4,60
77,23.4,60
83,23.4,69.2
83,26.19,60
73.33,61,61
73.33,66,88
61,88,88
69.2,88,60
69.2,71,60
83,15.14,69.2
69.2,15.14,11.5
69.2,88,69.2
34.6,15.14,69.2
69.2,88,69.2
83,15.14,73.33
69.2,15.14,34.45
69.2,71,61
69.2,71,61
83,15.14,34.45
34.6,15.14,61
69.2,15.14,26.19
83,71,61
83,15.14,88
83,71,88
69.2,15.14,61
83,71,88
69.2,15.14,73.33
69.2,71,88
69.2,88,61
83,71,61
83,88,88
83,71,61
83,88,61
83,71,73.33
69.2,88,88
